医院,姓名,科室,评分,擅长,简介
复旦大学附属儿科医院,俞建,中医儿科,3.7,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。
复旦大学附属妇产科医院,归绥琪,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
复旦大学附属妇产科医院,王文君,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
复旦大学附属妇产科医院,张晓金,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
复旦大学附属华山医院,董竞成,中西医结合科,3.8,中西医结合科常见病、多发病诊治,主任医师，中西医结合科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,王文健,中西医结合科,3.9,中西医结合科常见病、多发病诊治,主任医师，中西医结合科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,张红英,中西医结合科,3.8,中西医结合科常见病、多发病诊治,主任医师，中西医结合科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,张新民,中西医结合科,3.7,中西医结合科常见病、多发病诊治,主任医师，中西医结合科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属中山医院,蔡定芳,中医科,3.8,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
复旦大学附属中山医院,王鹏,中医科,3.8,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
复旦大学附属中山医院,杨云柯,中医科,3.7,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海交通大学医学院附属第九人民医院,戚清权,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属仁济医院,沈惠风,中医科,3.7,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海交通大学医学院附属瑞金医院,杜丽娜,针灸科,3.6,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海交通大学医学院附属瑞金医院,王勇,中医按摩科,3.7,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属瑞金医院,许建中,中医科,3.7,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海交通大学医学院附属瑞金医院,张守杰,中医五官科,3.6,中医五官科常见病、多发病诊治,主任医师，中医五官科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,陈跃来,针灸科,3.4,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属龙华医院,裴建,针灸科,3.6,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属龙华医院,孙德利,针灸科,3.6,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属龙华医院,潘云华,中医按摩科,3.3,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,盛锋,中医按摩科,3.3,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,姜永红,中医儿科,3.4,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。
上海中医药大学附属龙华医院,陈锦黎,中医妇产科,3.3,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,程航,中医妇产科,3.3,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,付金荣,中医妇产科,3.5,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,李祥云,中医妇产科,3.6,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,倪爽,中医妇产科,3.4,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,徐莲薇,中医妇产科,3.4,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,俞而慨,中医妇产科,3.6,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属龙华医院,王育群,中医肝病科,3.3,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
上海中医药大学附属龙华医院,曹永清,中医肛肠科,3.4,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,董青军,中医肛肠科,3.3,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,何春梅,中医肛肠科,3.4,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,陆金根,中医肛肠科,3.3,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,崔学军,中医骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,葛京化,中医骨科,3.4,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,莫文,中医骨科,3.7,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,施杞,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
