医院,姓名,科室,评分,擅长,简介
复旦大学附属儿科医院,董晨彬,小儿整形科,5.0,先天性畸形整形、唇腭裂修复、体表肿瘤,主任医师，小儿整形外科专科，从事小儿整形外科工作多年。
复旦大学附属华山医院,江华,整形科,4.0,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
复旦大学附属华山医院,李宇飞,整形科,5.0,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
复旦大学附属中山医院,顾建英,整形科,3.7,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
复旦大学附属中山医院,亓发芝,整形科,3.7,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
上海交通大学医学院附属第九人民医院,杨雅骊,皮肤美容,4.5,皮肤美容常见病、多发病诊治,主任医师，皮肤美容专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属第九人民医院,张振,皮肤美容,5.0,皮肤美容常见病、多发病诊治,主任医师，皮肤美容专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属第九人民医院,丁伟,整形科,5.0,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
上海交通大学医学院附属第九人民医院,李圣利,整形科,3.8,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
上海交通大学医学院附属第九人民医院,林晓曦,整形科,3.9,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
上海交通大学医学院附属第九人民医院,刘伟,整形科,3.9,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
上海交通大学医学院附属第九人民医院,刘阳,整形科,3.8,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
上海交通大学医学院附属第九人民医院,罗旭松,整形科,3.8,体表整形、眼部整形、鼻部整形,主任医师，整形外科专科，在整形外科方面有丰富经验。
