医院,姓名,科室,评分,擅长,简介
复旦大学附属儿科医院,李明,皮肤性病科,4.4,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属儿科医院,王榴慧,小儿皮肤科,3.6,儿童湿疹、儿童特应性皮炎、儿童银屑病,主任医师，小儿皮肤科专科，擅长儿童皮肤病的诊治。
复旦大学附属华山医院,陈连军,皮肤性病科,4.1,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,陈明华,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,杜娟,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,杜荣昌,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,方丽华,皮肤性病科,4.1,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,方栩,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,傅雯雯,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,韩凌,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,黄琼,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,黄雯,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,李锋,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,李巍,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,梁俊,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,卢忠,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,陆小年,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,罗燕,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,骆肖群,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,马英,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,孙翔,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,唐慧,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,王家俊,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,王月华,皮肤性病科,4.2,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,吴文育,皮肤性病科,4.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,项蕾红,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,徐金华,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,杨勤萍,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,于宁,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,张超英,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,张成锋,皮肤性病科,4.2,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,郑志忠,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属华山医院,朱敏,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属中山医院,叶伶,过敏反应科,4.0,过敏反应科常见病、多发病诊治,主任医师，过敏反应科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属中山医院,李明,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
复旦大学附属中山医院,杨骥,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属第九人民医院,杨雅骊,皮肤美容,4.5,皮肤美容常见病、多发病诊治,主任医师，皮肤美容专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属第九人民医院,张振,皮肤美容,5.0,皮肤美容常见病、多发病诊治,主任医师，皮肤美容专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属第九人民医院,徐慧,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属仁济医院,郭胤仕,过敏反应科,3.7,过敏反应科常见病、多发病诊治,主任医师，过敏反应科专科，从事临床工作多年，具有丰富的临床经验。
上海交通大学医学院附属仁济医院,鞠强,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属仁济医院,施虹敏,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,曹华,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,冯信忠,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,李霞,皮肤性病科,4.4,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,毛玲娥,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,潘萌,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,王耀祖,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,郑捷,皮肤性病科,4.0,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海交通大学医学院附属瑞金医院,朱海琴,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海中医药大学附属龙华医院,马绍尧,中医皮肤科,3.3,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,乐嘉豫,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
上海中医药大学附属岳阳医院,陈洁,中医皮肤科,3.6,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,顾荻青,中医皮肤科,3.3,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,秦万章,中医皮肤科,3.5,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,徐蓉,中医皮肤科,3.3,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,周敏,中医皮肤科,3.4,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
北京朝阳医院,董洁,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,何焱玲,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,刘方,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,刘军连,皮肤性病科,4.4,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,冉立伟,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,佟春光,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,张秀英,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京朝阳医院,刘晓雁,小儿皮肤科,4.7,儿童湿疹、儿童特应性皮炎、儿童银屑病,主任医师，小儿皮肤科专科，擅长儿童皮肤病的诊治。
北京大学第三医院,郝玉琴,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学第三医院,姜薇,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学第三医院,李东明,皮肤性病科,3.9,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学第三医院,宋清华,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学第三医院,王文慧,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学第三医院,谢志强,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学第三医院,张春雷,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,陈办成,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,窦侠,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,胡小平,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,李建军,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,马刚,皮肤性病科,3.8,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,邵勇,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,王亚美,皮肤性病科,3.5,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,吴波,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,叶蓉,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,叶庭路,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,于波,皮肤性病科,3.7,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,张杰,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京大学深圳医院,钟绮丽,皮肤性病科,3.6,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。
北京儿童医院,向莉,过敏反应科,3.6,过敏反应科常见病、多发病诊治,主任医师，过敏反应科专科，从事临床工作多年，具有丰富的临床经验。
北京儿童医院,王林娜,皮肤美容,3.6,皮肤美容常见病、多发病诊治,主任医师，皮肤美容专科，从事临床工作多年，具有丰富的临床经验。
