医院,姓名,科室,评分,擅长,简介,医疗服务
复旦大学附属儿科医院,陈莲,病理科,3.3,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。,routine health screening
复旦大学附属儿科医院,孙利,儿科,4.5,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。,routine health screening
复旦大学附属儿科医院,徐灵敏,儿科,4.2,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。,routine health screening
复旦大学附属儿科医院,周浩,儿科,3.9,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。,routine health screening
复旦大学附属儿科医院,丁艳华,儿童保健科,3.6,儿童生长发育评估、儿童营养指导、儿童早期发展,主任医师，儿童保健专科，从事儿童保健工作多年。,routine health screening
复旦大学附属儿科医院,孙锦华,儿童青少年心理,3.7,儿童多动症、儿童自闭症、儿童情绪障碍、学习困难,主任医师，儿童心理专科，在儿童青少年心理卫生方面有丰富经验。,routine health screening
复旦大学附属儿科医院,王建设,肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。,routine health screening
复旦大学附属儿科医院,谢新宝,肝病科,4.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。,routine health screening
复旦大学附属儿科医院,王炫,麻醉科,3.5,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
复旦大学附属儿科医院,刘锋,泌尿外科,3.0,泌尿系结石、前列腺疾病、泌尿系肿瘤,主任医师，泌尿外科专科，在泌尿外科疾病诊治方面有丰富经验。,robotic surgery
复旦大学附属儿科医院,李明,皮肤性病科,4.4,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。,hair transplant; skin care
复旦大学附属儿科医院,胡韶楠,手外科,3.9,断指再植、手外伤、周围神经损伤,主任医师，手外科专科，在手外科疾病诊治方面有丰富经验。,orthopedics
复旦大学附属儿科医院,许政敏,小儿耳鼻喉,3.6,儿童中耳炎、儿童鼻窦炎、儿童扁桃体腺样体肥大,主任医师，小儿耳鼻喉科专科，在儿童耳鼻喉疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,曾玫,小儿感染科,3.7,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。,routine health screening
复旦大学附属儿科医院,葛艳玲,小儿感染科,4.5,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。,routine health screening
复旦大学附属儿科医院,陆怡,小儿感染科,4.1,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。,routine health screening
复旦大学附属儿科医院,俞蕙,小儿感染科,3.9,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。,routine health screening
复旦大学附属儿科医院,宁波,小儿骨科,3.8,儿童骨折与关节损伤、先天性髋关节脱位、儿童脊柱侧弯,主任医师，小儿骨科专科，从事儿童骨科疾病诊治多年。,orthopedics
复旦大学附属儿科医院,王达辉,小儿骨科,5.0,儿童骨折与关节损伤、先天性髋关节脱位、儿童脊柱侧弯,主任医师，小儿骨科专科，从事儿童骨科疾病诊治多年。,orthopedics
复旦大学附属儿科医院,祁媛媛,小儿呼吸科,4.0,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
复旦大学附属儿科医院,田代印,小儿呼吸科,4.1,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
复旦大学附属儿科医院,张晓波,小儿呼吸科,3.7,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
复旦大学附属儿科医院,高鸿云,小儿精神科,3.6,小儿精神科常见病、多发病诊治,主任医师，小儿精神科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
复旦大学附属儿科医院,杨红,小儿康复科,3.7,神经康复、骨科康复、疼痛康复,主任医师，康复科专科，在康复治疗方面有丰富经验。,Rehabilitation & Physiotherapy treatment
复旦大学附属儿科医院,耿红全,小儿泌尿科,3.9,尿道下裂、隐睾、肾积水、小儿泌尿系结石,主任医师，小儿泌尿外科专科，擅长小儿泌尿系统先天畸形的矫治。,routine health screening
复旦大学附属儿科医院,陆良生,小儿泌尿科,4.8,尿道下裂、隐睾、肾积水、小儿泌尿系结石,主任医师，小儿泌尿外科专科，擅长小儿泌尿系统先天畸形的矫治。,routine health screening
复旦大学附属儿科医院,侯佳,小儿免疫科,3.9,小儿免疫科常见病、多发病诊治,主任医师，小儿免疫科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
复旦大学附属儿科医院,刘海梅,小儿免疫科,4.6,小儿免疫科常见病、多发病诊治,主任医师，小儿免疫科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
复旦大学附属儿科医院,陆炜,小儿内分泌科,3.7,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,王榴慧,小儿皮肤科,3.6,儿童湿疹、儿童特应性皮炎、儿童银屑病,主任医师，小儿皮肤科专科，擅长儿童皮肤病的诊治。,skin care
复旦大学附属儿科医院,王艺,小儿神经内科,3.8,儿童癫痫、儿童脑瘫、儿童脑炎,主任医师，小儿神经内科专科，从事小儿神经系统疾病诊治多年。,routine health screening
复旦大学附属儿科医院,周水珍,小儿神经内科,3.7,儿童癫痫、儿童脑瘫、儿童脑炎,主任医师，小儿神经内科专科，从事小儿神经系统疾病诊治多年。,routine health screening
复旦大学附属儿科医院,李昊,小儿神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
复旦大学附属儿科医院,施伟,小儿神经外科,4.3,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
复旦大学附属儿科医院,翟亦晖,小儿肾内科,3.7,肾小球疾病、肾功能衰竭、血液透析,主任医师，肾内科专科，在肾脏疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,陈功,小儿外科,3.9,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,董岿然,小儿外科,3.8,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
